Character Pairs (Simplified),Character Pairs (Traditional),English Translation,Pinyin
我们,我們,we; us,wǒmen
你们,你們,you (plural),nǐmen
他们,他們,they; them (male),tāmen
她们,她們,they; them (female),tāmen
你好,你好,Hello,nǐ hǎo
老师,老師,Teacher,lǎoshī
朋友,朋友,Friend,péngyǒu
男朋友,男朋友,Boyfriend,nánpéngyǒu
工作,工作,Work; job,gōngzuò
喜欢,喜歡,to like,xǐhuān
漂亮,漂亮,Beautiful,piàoliang
北京,北京,Beijing,Běijīng
法国,法國,France,Fǎguó
巴黎,巴黎,Paris,Bālí
大学,大學,University,dàxué
故宫,故宮,The Forbidden City,Gùgōng
长城,長城,The Great Wall,Chángchéng
天安门,天安門,Tiananmen Square,Tiān'ānmén
市中心,市中心,City center; downtown,shì zhōngxīn
公寓,公寓,Apartment,gōngyù
卧室,臥室,Bedroom,wòshì
饭馆,飯館,Restaurant,fànguǎn
公园,公園,Park,gōngyuán
网站,網站,Website,wǎngzhàn
邮件,郵件,Email,yóujiàn
信用卡,信用卡,Credit card,xìnyòngkǎ
账号,帳號,Account number,zhànghào
衣服,衣服,Clothes,yīfu / yīfú
东西,東西,Thing; stuff,dōngxi
晚饭,晚飯,Dinner,wǎnfàn
鸡蛋,雞蛋,Egg,jīdàn
外卖,外賣,Takeout; food delivery,wàimài
天气,天氣,Weather,tiānqì
晴天,晴天,Sunny day,qíngtiān
夏天,夏天,Summer,xiàtiān
明天,明天,Tomorrow,míngtiān
早上,早上,Morning,zǎoshang
奥运,奧運,The Olympic Games,Àoyùn
比赛,比賽,Competition; match,bǐsài
羽毛球,羽毛球,Badminton,yǔmáoqiú
跳水,跳水,Diving (sport),tiàoshuǐ
滑冰,滑冰,to ice skate,huábīng
遛狗,遛狗,to walk a dog,liùgǒu
举行,舉行,"to hold (a meeting, event)",jǔxíng
庆祝,慶祝,to celebrate,qìngzhù
期待,期待,to look forward to,qīdài
当然,當然,Of course; certainly,dāngrán
非常,非常,Very; extremely,fēicháng
怎么样,怎麼樣,How is it?; what's up?,zěnmeyàng
为什么,為什麼,Why,wèishénme
请问,請問,Excuse me; may I ask,qǐngwèn
可以,可以,Can; may,kěyǐ
不是,不是,am not; is not; are not,búshì
没有,沒有,to not have; don't have,méiyǒu
没事,沒事,It's nothing; I'm fine,méishì
上班,上班,to go to work,shàngbān
起床,起床,to get out of bed,qǐchuáng
日记,日記,Diary,rìjì
漫画,漫畫,Comics; manga,mànhuà